,date,NAPMPMI,NAPMNMI,NAPMPMI_signal,NAPMNMI_signal,PMI_signal
0,1995-01-02,56.1,56.0,1.0,1.0,1.0
1,1995-01-03,56.1,56.0,1.0,1.0,1.0
2,1995-01-04,56.1,56.0,1.0,1.0,1.0
3,1995-01-05,56.1,56.0,1.0,1.0,1.0
4,1995-01-06,56.1,56.0,1.0,1.0,1.0
5,1995-01-09,56.1,56.0,1.0,1.0,1.0
6,1995-01-10,56.1,56.0,1.0,1.0,1.0
7,1995-01-11,56.1,56.0,1.0,1.0,1.0
8,1995-01-12,56.1,56.0,1.0,1.0,1.0
9,1995-01-13,56.1,56.0,1.0,1.0,1.0
10,1995-01-16,56.1,56.0,1.0,1.0,1.0
11,1995-01-17,56.1,56.0,1.0,1.0,1.0
12,1995-01-18,56.1,56.0,1.0,1.0,1.0
13,1995-01-19,56.1,56.0,1.0,1.0,1.0
14,1995-01-20,56.1,56.0,1.0,1.0,1.0
15,1995-01-23,56.1,56.0,1.0,1.0,1.0
16,1995-01-24,56.1,56.0,1.0,1.0,1.0
17,1995-01-25,56.1,56.0,1.0,1.0,1.0
18,1995-01-26,56.1,56.0,1.0,1.0,1.0
19,1995-01-27,56.1,56.0,1.0,1.0,1.0
20,1995-01-30,56.1,56.0,1.0,1.0,1.0
21,1995-01-31,57.4,56.0,1.0,1.0,1.0
22,1995-02-01,57.4,56.0,1.0,1.0,1.0
23,1995-02-02,57.4,56.0,1.0,1.0,1.0
24,1995-02-03,57.4,56.0,1.0,1.0,1.0
25,1995-02-06,57.4,56.0,1.0,1.0,1.0
26,1995-02-07,57.4,56.0,1.0,1.0,1.0
27,1995-02-08,57.4,56.0,1.0,1.0,1.0
28,1995-02-09,57.4,56.0,1.0,1.0,1.0
29,1995-02-10,57.4,56.0,1.0,1.0,1.0
30,1995-02-13,57.4,56.0,1.0,1.0,1.0
31,1995-02-14,57.4,56.0,1.0,1.0,1.0
32,1995-02-15,57.4,56.0,1.0,1.0,1.0
33,1995-02-16,57.4,56.0,1.0,1.0,1.0
34,1995-02-17,57.4,56.0,1.0,1.0,1.0
35,1995-02-20,57.4,56.0,1.0,1.0,1.0
36,1995-02-21,57.4,56.0,1.0,1.0,1.0
37,1995-02-22,57.4,56.0,1.0,1.0,1.0
38,1995-02-23,57.4,56.0,1.0,1.0,1.0
39,1995-02-24,57.4,56.0,1.0,1.0,1.0
40,1995-02-27,57.4,56.0,1.0,1.0,1.0
41,1995-02-28,55.1,56.0,1.0,1.0,1.0
42,1995-03-01,55.1,56.0,1.0,1.0,1.0
43,1995-03-02,55.1,56.0,1.0,1.0,1.0
44,1995-03-03,55.1,56.0,1.0,1.0,1.0
45,1995-03-06,55.1,56.0,1.0,1.0,1.0
46,1995-03-07,55.1,56.0,1.0,1.0,1.0
47,1995-03-08,55.1,56.0,1.0,1.0,1.0
48,1995-03-09,55.1,56.0,1.0,1.0,1.0
49,1995-03-10,55.1,56.0,1.0,1.0,1.0
50,1995-03-13,55.1,56.0,1.0,1.0,1.0
51,1995-03-14,55.1,56.0,1.0,1.0,1.0
52,1995-03-15,55.1,56.0,1.0,1.0,1.0
53,1995-03-16,55.1,56.0,1.0,1.0,1.0
54,1995-03-17,55.1,56.0,1.0,1.0,1.0
55,1995-03-20,55.1,56.0,1.0,1.0,1.0
56,1995-03-21,55.1,56.0,1.0,1.0,1.0
57,1995-03-22,55.1,56.0,1.0,1.0,1.0
58,1995-03-23,55.1,56.0,1.0,1.0,1.0
59,1995-03-24,55.1,56.0,1.0,1.0,1.0
60,1995-03-27,55.1,56.0,1.0,1.0,1.0
61,1995-03-28,55.1,56.0,1.0,1.0,1.0
62,1995-03-29,55.1,56.0,1.0,1.0,1.0
63,1995-03-30,55.1,56.0,1.0,1.0,1.0
64,1995-03-31,52.1,56.0,1.0,1.0,1.0
65,1995-04-03,52.1,56.0,1.0,1.0,1.0
66,1995-04-04,52.1,56.0,1.0,1.0,1.0
67,1995-04-05,52.1,56.0,1.0,1.0,1.0
68,1995-04-06,52.1,56.0,1.0,1.0,1.0
69,1995-04-07,52.1,56.0,1.0,1.0,1.0
70,1995-04-10,52.1,56.0,1.0,1.0,1.0
71,1995-04-11,52.1,56.0,1.0,1.0,1.0
