None,date,close,21d_vol,200d_vol,market_vol_cross,21d,200d,market_cross
6555,1997-12-31,970.43,,,,,,
6554,1998-01-02,975.04,,,,,,
6553,1998-01-05,977.07,,,,,,
6552,1998-01-06,966.58,,,,,,
6551,1998-01-07,964.0,,,,,,
6550,1998-01-08,956.05,,,,,,
6549,1998-01-09,927.69,,,,,,
6548,1998-01-12,939.21,,,,,,
6547,1998-01-13,952.12,,,,,,
6546,1998-01-14,957.94,,,,,,
6545,1998-01-15,950.73,,,,,,
6544,1998-01-16,961.51,,,,,,
6543,1998-01-20,978.6,,,,,,
6542,1998-01-21,970.81,,,,,,
6541,1998-01-22,963.04,,,,,,
6540,1998-01-23,957.59,,,,,,
6539,1998-01-26,956.95,,,,,,
6538,1998-01-27,969.02,,,,,,
6537,1998-01-28,977.46,,,,,,
6536,1998-01-29,985.49,,,,,,
6535,1998-01-30,980.28,,,,963.6957142857143,,
6534,1998-02-02,1001.27,0.012014387715677043,,,965.1642857142857,,
6533,1998-02-03,1006.0,0.012014032803040205,,,966.6385714285714,,
6532,1998-02-04,1006.9,0.0120139009243035,,,968.0590476190475,,
6531,1998-02-05,1003.54,0.011741692648763815,,,969.8190476190476,,
6530,1998-02-06,1012.46,0.011791974770591157,,,972.1266666666667,,
6529,1998-02-09,1010.74,0.011581290720421378,,,974.7309523809524,,
6528,1998-02-10,1019.01,0.008859304530018887,,,979.0795238095237,,
6527,1998-02-11,1020.01,0.008700099056434438,,,982.9271428571429,,
6526,1998-02-12,1024.14,0.008411093189208884,,,986.3566666666668,,
6525,1998-02-13,1020.09,0.008539654240164016,,,989.3161904761904,,
6524,1998-02-17,1022.76,0.008192876493299712,,,992.7461904761903,,
6523,1998-02-18,1032.08,0.00810162326033695,,,996.1066666666668,,
6522,1998-02-19,1028.28,0.007543347540492212,,,998.4723809523808,,
6521,1998-02-20,1034.21,0.007188280550778975,,,1001.4914285714285,,
6520,1998-02-23,1038.14,0.0067279579609328625,,,1005.0676190476191,,
6519,1998-02-24,1030.56,0.006850167801793385,,,1008.5423809523809,,
6518,1998-02-25,1042.9,0.007015258624100227,,,1012.6352380952382,,
6517,1998-02-26,1048.67,0.006755541827713026,,,1016.4280952380951,,
6516,1998-02-27,1049.34,0.006690711504332698,,,1019.8509523809523,,
6515,1998-03-02,1047.7,0.006678918920937013,,,1022.8133333333333,,
6514,1998-03-03,1052.02,0.006410460909411675,,,1026.2295238095237,,
6513,1998-03-04,1047.33,0.005168235262546325,,,1028.422857142857,,
6512,1998-03-05,1035.05,0.005953311177043869,,,1029.8061904761905,,
6511,1998-03-06,1055.69,0.007175891872760073,,,1032.1295238095238,,
6510,1998-03-09,1052.31,0.007170659273115261,,,1034.4519047619049,,
6509,1998-03-10,1064.25,0.007300941851786673,,,1036.9180952380952,,
6508,1998-03-11,1068.47,0.007247207179527327,,,1039.6671428571428,,
6507,1998-03-12,1069.92,0.007140070052880341,,,1042.0914285714287,,
6506,1998-03-13,1068.61,0.007176913669016841,,,1044.4057142857143,,
6505,1998-03-16,1079.27,0.007364180527275685,,,1047.0309523809524,,
6504,1998-03-17,1080.45,0.007223770532992689,,,1049.905238095238,,
6503,1998-03-18,1085.52,0.007236082305174978,,,1052.8938095238095,,
6502,1998-03-19,1089.74,0.007099803467776017,,,1055.6395238095238,,
6501,1998-03-20,1099.16,0.00706314505389976,,,1059.014761904762,,
6500,1998-03-23,1095.55,0.00717291829958217,,,1061.9357142857143,,
6499,1998-03-24,1105.65,0.007307254623228084,,,1065.1504761904762,,
6498,1998-03-25,1101.93,0.007074878067791879,,,1068.5490476190478,,
6497,1998-03-26,1100.8,0.006837182715647233,,,1071.3061904761905,,
6496,1998-03-27,1095.44,0.006988150993258457,,,1073.5333333333333,,
6495,1998-03-30,1093.6,0.007030245661253323,,,1075.6409523809525,,
6494,1998-03-31,1101.75,0.007077968662105397,,,1078.214761904762,,
6493,1998-04-01,1108.15,0.007107743318779406,,,1080.887619047619,,
6492,1998-04-02,1120.01,0.007134667368333449,,,1084.3485714285714,,
6491,1998-04-03,1122.7,0.006262716955653655,,,1088.522380952381,,
6490,1998-04-06,1121.38,0.005182078297712504,,,1091.6504761904762,,
6489,1998-04-07,1109.55,0.005827527809616892,,,1094.3761904761905,,
6488,1998-04-08,1101.65,0.005829885008072751,,,1096.1571428571428,,
6487,1998-04-09,1110.67,0.005983058471261829,,,1098.1666666666667,,
6486,1998-04-13,1109.69,0.0060120740844579225,,,1100.0604761904763,,
6485,1998-04-14,1115.75,0.006023919523351879,,,1102.305238095238,,
6484,1998-04-15,1119.32,0.005757370241570489,,,1104.212380952381,,
6483,1998-04-16,1108.17,0.006303334881332206,,,1105.532380952381,,
6482,1998-04-17,1122.72,0.006780013009669834,,,1107.3038095238096,,
6481,1998-04-20,1123.65,0.006761483611819345,,,1108.9185714285716,,
6480,1998-04-21,1126.67,0.006569209209058475,,,1110.2285714285713,,
6479,1998-04-22,1130.54,0.006504069788607035,,,1111.894761904762,,
6478,1998-04-23,1119.58,0.006694579570977859,,,1112.5580952380953,,
6477,1998-04-24,1107.9,0.007074768865954191,,,1112.8423809523808,,
6476,1998-04-27,1086.54,0.008283392056617366,,,1112.1633333333334,,
6475,1998-04-28,1085.11,0.008228068283218738,,,1111.6714285714286,,
6474,1998-04-29,1094.62,0.008460410476544129,,,1111.72,,
6473,1998-04-30,1111.75,0.008982532945811035,,,1112.1961904761904,,
6472,1998-05-01,1121.0,0.009072986160950267,,,1112.8080952380953,,
6471,1998-05-04,1122.07,0.008775336502543758,,,1112.9061904761904,,
6470,1998-05-05,1115.5,0.00885169877814556,,,1112.5633333333335,,
6469,1998-05-06,1104.92,0.009077563828920476,,,1111.7795238095239,,
6468,1998-05-07,1095.14,0.00899134506252391,,,1111.0933333333335,,
6467,1998-05-08,1108.14,0.009250890497050681,,,1111.402380952381,,
6466,1998-05-11,1106.64,0.009077263078427664,,,1111.2104761904761,,
6465,1998-05-12,1115.79,0.009257851655609505,,,1111.5009523809524,,
6464,1998-05-13,1118.86,0.009200835970119026,,,1111.6490476190477,,
6463,1998-05-14,1117.37,0.009178514573084336,,,1111.5561904761905,,
6462,1998-05-15,1108.73,0.009069355975385197,,,1111.5828571428572,,
