,mfp,factor_decile,factor_rank,1M_frwrd
0,qGrowth,1,0.05240099815558208,0.007507372295765268
1,qGrowth,2,0.15450543101455974,0.00856755388184215
2,qGrowth,3,0.2540338164251208,0.008047572267101701
3,qGrowth,4,0.35377330435777193,0.008682374309394366
4,qGrowth,5,0.45421697788979265,0.006746051323493806
5,qGrowth,6,0.5547554222427319,0.00741068128856889
6,qGrowth,7,0.6550874971218053,0.008010537445754294
7,qGrowth,8,0.7551767008173133,0.008707251962577062
8,qGrowth,9,0.8552548794489092,0.00904418442673212
9,qGrowth,10,0.9535582310168077,0.008604889699140486
10,qLV,1,0.05015992167101828,0.015900940429236184
11,qLV,2,0.14927780341485927,0.010923076248400066
12,qLV,3,0.24711190503630287,0.010039639821642687
13,qLV,4,0.3464031257182257,0.00773933525585204
14,qLV,5,0.44641134103121066,0.006630244059172574
15,qLV,6,0.5473128820205282,0.00587570596265114
16,qLV,7,0.6483717463593625,0.0054384414317421624
17,qLV,8,0.7501177950594693,0.007957764300230293
18,qLV,9,0.852815107102593,0.005891252748995864
19,qLV,10,0.9528320097739769,0.004654203465003503
20,qMO,1,0.05183233532934132,0.009646959213651699
21,qMO,2,0.15256153669197148,0.009367689340165944
22,qMO,3,0.25120275703618605,0.008105831048612103
23,qMO,4,0.3509702606499024,0.006580912662825335
24,qMO,5,0.4512442713107241,0.007217699932854085
25,qMO,6,0.5516318763695075,0.0074216317975722415
26,qMO,7,0.6523249913504786,0.008675519402409416
27,qMO,8,0.7532381496287835,0.008036335780606611
28,qMO,9,0.8544716287617734,0.007561006222027235
29,qMO,10,0.9531294145815874,0.00864494836380464
30,qQuality,1,0.05731534863483085,0.006648645671114927
31,qQuality,2,0.16255385324271399,0.007095216594474228
32,qQuality,3,0.26316910325774145,0.007918542402225622
33,qQuality,4,0.36313357731015555,0.00934662827071326
34,qQuality,5,0.4620432581684307,0.007320513198905751
35,qQuality,6,0.5603619702176403,0.0069570519763996795
36,qQuality,7,0.6588891441700172,0.007640586492674276
37,qQuality,8,0.7575984708063022,0.008690061474316703
38,qQuality,9,0.8551998162609095,0.009130452930859276
39,qQuality,10,0.9526603212373587,0.01067046249556822
40,qSentiment,1,0.0535011491736894,0.007228609396670614
41,qSentiment,2,0.15860894495412844,0.008904078556424215
42,qSentiment,3,0.25936324001835703,0.008897389610529974
43,qSentiment,4,0.3589208467556374,0.007916847869120362
44,qSentiment,5,0.4583009375714613,0.007863222881973546
45,qSentiment,6,0.5570340262454999,0.008346915892492828
46,qSentiment,7,0.6559621953996811,0.00893270762173691
47,qSentiment,8,0.7558484500574052,0.008192576493048555
48,qSentiment,9,0.8555607852140971,0.008101417503429825
49,qSentiment,10,0.9526317049808429,0.0068593081035011804
50,qValue,1,0.06484792122538294,0.013639168449029394
51,qValue,2,0.17411197797154657,0.009622941910591999
52,qValue,3,0.2753681438222833,0.007358408298758359
53,qValue,4,0.37402592932537865,0.008156241825506769
54,qValue,5,0.47260519659691885,0.007025480857150984
55,qValue,6,0.5710855112333791,0.007053780099475947
56,qValue,7,0.6687435277873662,0.006923510348534077
57,qValue,8,0.7651094217922139,0.007837052987474807
58,qValue,9,0.8611256454388985,0.00793118378223552
59,qValue,10,0.9550633819660368,0.005309217348799366
