,date,ticker,mfp,sector,industry,scalemarketcap,qMO,qValue,qQuality,qLV,qSentiment,qGrowth,Weight
66,4/30/2014,AGN,qMO,Healthcare,Drug Manufacturers - General,Large,0.88,0.07,0.13,0.13,0.04,0.72,0.02
67,4/30/2014,AVGO,qMO,Technology,Semiconductors,Large,1,0.05,0.91,0.1,0.19,0.5,0.02
68,4/30/2014,BEAV,qMO,Consumer Cyclical,Furnishings,Large,0.92,0.51,0.27,0.2,0.16,0.84,0.02
69,4/30/2014,DD,qMO,Basic Materials,Chemicals,Large,0.97,0.94,0.57,0.34,0.12,0.88,0.02
70,4/30/2014,EQT,qMO,Energy,Oil & Gas E&P,Large,0.83,0.39,0.65,0.31,0.13,0.96,0.02
71,4/30/2014,EQT,qGrowth,Energy,Oil & Gas E&P,Large,0.83,0.39,0.65,0.31,0.13,0.96,0.02
72,4/30/2014,GLW,qMO,Technology,Electronic Components,Large,0.98,0.55,0.84,0.17,0.92,0.82,0.02
73,4/30/2014,GMKYY,qMO,Consumer Defensive,Packaged Foods,Large,0.93,0.96,0.59,0.53,0.57,0.88,0.02
74,4/30/2014,GNW,qMO,Financial Services,Insurance - Life,Large,0.87,0.34,0.05,0.02,0.71,0.68,0.02
75,4/30/2014,GRMN,qMO,Technology,Scientific & Technical Instruments,Large,0.98,0.31,0.74,0.24,0.6,0.47,0.02
76,4/30/2014,HAL,qMO,Energy,Oil & Gas Equipment & Services,Large,0.99,0.73,0.76,0.29,0.18,0.96,0.02
77,4/30/2014,HP,qMO,Energy,Oil & Gas Drilling,Large,1,0.7,0.82,0.22,0.14,0.44,0.02
78,4/30/2014,ILMN,qMO,Healthcare,Diagnostics & Research,Large,0.83,0.02,0.71,0.04,0.02,0.9,0.02
79,4/30/2014,KEY,qMO,Financial Services,Banks - Regional,Large,0.84,0.3,0.18,0.2,0.88,0.85,0.02
80,4/30/2014,LNG,qMO,Energy,Oil & Gas Midstream,Large,0.98,0.11,0.01,0.04,0.42,0.16,0.02
81,4/30/2014,LYB,qMO,Basic Materials,Specialty Chemicals,Large,0.97,0.88,0.65,0.62,0.22,0.74,0.02
82,4/30/2014,MAR,qMO,Consumer Cyclical,Lodging,Large,0.95,0.31,0.35,0.62,0.68,0.82,0.02
83,4/30/2014,META,qMO,Technology,Internet Content & Information,Large,0.9,0.03,0.99,0.04,0.21,1,0.02
84,4/30/2014,META,qQuality,Technology,Internet Content & Information,Large,0.9,0.03,0.99,0.04,0.21,1,0.02
85,4/30/2014,META,qGrowth,Technology,Internet Content & Information,Large,0.9,0.03,0.99,0.04,0.21,1,0.02
86,4/30/2014,MU,qMO,Technology,Semiconductors,Large,0.97,0.63,0.91,0.03,0.29,0.78,0.02
87,4/30/2014,NFLX,qMO,Consumer Cyclical,Entertainment,Large,0.78,0.02,0.22,0.05,0.17,0.68,0.02
