date,qGrowth,qLV,qMO,qQuality,qSentiment,qValue
2014-02-28,,,,,,
2014-03-31,,,,,,
2014-04-30,,,,,,
2014-05-31,,,,,,
2014-06-30,,,,,,
2014-07-31,,,,,,
2014-08-31,,,,,,
2014-09-30,,,,,,
2014-10-31,,,,,,
2014-11-30,,,,,,
2014-12-31,,,,,,
2015-01-31,0.053,0.015,0.085,0.051,0.026,-0.023
2015-02-28,0.041,-0.013,0.082,0.023,-0.01,-0.068
2015-03-31,0.038,0.002,0.049,0.031,0.027,0.004
2015-04-30,0.033,-0.004,0.076,0.029,0.023,-0.03
2015-05-31,0.03,-0.03,0.05,0.011,0.015,-0.056
2015-06-30,0.035,-0.0,0.072,0.018,0.003,-0.077
2015-07-31,-0.032,-0.043,0.004,-0.051,-0.055,-0.125
2015-08-31,-0.068,-0.046,-0.004,-0.075,-0.1,-0.16
2015-09-30,-0.002,0.008,0.041,-0.007,-0.042,-0.065
2015-10-31,0.003,-0.003,0.043,-0.006,-0.054,-0.097
2015-11-30,-0.014,-0.012,0.013,-0.032,-0.089,-0.13
2015-12-31,-0.116,-0.01,-0.037,-0.078,-0.142,-0.165
2016-01-31,-0.112,-0.013,-0.04,-0.061,-0.127,-0.114
2016-02-29,-0.038,0.047,-0.0,0.004,-0.024,-0.007
2016-03-31,-0.031,0.048,-0.022,0.002,0.004,0.03
2016-04-30,-0.01,0.046,0.001,0.035,0.016,0.01
2016-05-31,-0.022,0.078,0.027,0.032,0.017,0.028
2016-06-30,0.044,0.082,0.045,0.097,0.074,0.068
2016-07-31,0.042,0.056,0.022,0.077,0.089,0.063
2016-08-31,0.052,0.037,0.028,0.072,0.065,0.066
2016-09-30,0.027,0.011,0.004,0.048,0.079,0.078
2016-10-31,0.035,-0.0,0.031,0.023,0.101,0.078
2016-11-30,0.034,0.018,0.017,0.019,0.111,0.069
2016-12-31,0.075,0.027,0.031,0.049,0.14,0.091
2017-01-31,0.092,0.042,0.024,0.068,0.142,0.068
2017-02-28,0.1,0.035,0.037,0.085,0.136,0.085
2017-03-31,0.102,0.03,0.048,0.087,0.126,0.063
2017-04-30,0.113,0.043,0.078,0.103,0.115,0.069
2017-05-31,0.103,0.036,0.057,0.088,0.102,0.049
2017-06-30,0.123,0.044,0.075,0.117,0.122,0.085
2017-07-31,0.123,0.034,0.073,0.122,0.095,0.063
2017-08-31,0.13,0.037,0.076,0.111,0.093,0.075
2017-09-30,0.12,0.041,0.114,0.126,0.072,0.079
2017-10-31,0.095,0.047,0.125,0.119,0.065,0.084
2017-11-30,0.086,0.044,0.095,0.104,0.069,0.108
2017-12-31,0.126,0.054,0.142,0.143,0.126,0.15
2018-01-31,0.065,-0.021,0.09,0.102,0.064,0.062
2018-02-28,0.048,-0.026,0.063,0.065,0.039,0.05
2018-03-31,0.035,-0.015,0.047,0.049,0.036,0.071
2018-04-30,0.056,-0.023,0.071,0.065,-0.017,0.056
2018-05-31,0.038,-0.022,0.025,0.043,-0.033,0.014
2018-06-30,0.032,0.007,0.018,0.065,0.002,0.026
2018-07-31,0.022,-0.001,0.047,0.081,-0.018,0.007
2018-08-31,-0.004,0.005,0.045,0.074,-0.027,0.004
2018-09-30,-0.109,-0.029,-0.054,-0.029,-0.046,-0.067
2018-10-31,-0.111,-0.001,-0.024,-0.025,-0.035,-0.051
2018-11-30,-0.179,-0.06,-0.08,-0.097,-0.092,-0.111
2018-12-31,-0.072,-0.001,-0.044,-0.01,0.0,-0.009
2019-01-31,-0.032,0.018,-0.002,0.027,0.019,-0.01
2019-02-28,-0.036,0.027,0.013,0.045,0.003,-0.011
2019-03-31,0.007,0.034,0.036,0.063,0.02,0.008
2019-04-30,-0.052,0.006,0.01,-0.01,-0.042,-0.092
2019-05-31,0.026,0.042,0.045,0.039,0.011,-0.021
2019-06-30,0.039,0.033,0.058,0.041,0.007,-0.032
2019-07-31,0.029,0.027,0.064,0.021,-0.037,-0.079
2019-08-31,0.034,0.045,0.035,0.038,0.007,-0.034
2019-09-30,0.041,0.041,0.057,0.06,0.019,-0.029
2019-10-31,0.093,0.038,0.062,0.086,0.032,-0.011
2019-11-30,0.095,0.045,0.058,0.101,0.058,0.038
2019-12-31,0.094,0.035,0.052,0.089,0.017,-0.037
2020-01-31,0.015,-0.052,-0.016,0.011,-0.051,-0.115
2020-02-29,-0.112,-0.146,-0.114,-0.07,-0.231,-0.297
2020-03-31,0.014,-0.087,-0.003,0.043,-0.145,-0.165
2020-04-30,0.095,-0.075,0.083,0.077,-0.106,-0.126
2020-05-31,0.116,-0.077,0.151,0.104,-0.059,-0.106
2020-06-30,0.175,-0.044,0.215,0.156,-0.014,-0.085
2020-07-31,0.207,-0.007,0.263,0.17,0.027,-0.045
2020-08-31,0.152,-0.012,0.216,0.123,-0.018,-0.073
2020-09-30,0.133,-0.038,0.152,0.059,0.003,-0.079
2020-10-31,0.241,0.034,0.279,0.152,0.164,0.085
2020-11-30,0.25,0.049,0.285,0.186,0.22,0.128
2020-12-31,0.219,0.032,0.247,0.166,0.209,0.138
2021-01-31,0.191,0.019,0.279,0.144,0.235,0.162
2021-02-28,0.13,0.072,0.172,0.128,0.226,0.201
2021-03-31,0.145,0.086,0.159,0.13,0.215,0.21
2021-04-30,0.115,0.105,0.154,0.119,0.241,0.228
2021-05-31,0.128,0.081,0.123,0.147,0.178,0.189
2021-06-30,0.127,0.081,0.115,0.139,0.127,0.145
2021-07-31,0.148,0.079,0.116,0.143,0.117,0.123
2021-08-31,0.054,0.032,0.035,0.058,0.064,0.088
2021-09-30,0.106,0.062,0.093,0.091,0.05,0.082
2021-10-31,0.065,0.019,0.031,0.074,-0.0,0.026
2021-11-30,0.05,0.076,0.023,0.084,0.031,0.055
2021-12-31,-0.051,0.078,-0.082,-0.006,0.058,0.076
2022-01-31,-0.072,0.05,-0.067,-0.041,0.02,0.079
2022-02-28,-0.039,0.074,-0.022,-0.004,0.022,0.085
2022-03-31,-0.125,0.039,-0.079,-0.081,-0.055,0.03
2022-04-30,-0.109,0.044,-0.07,-0.074,-0.019,0.068
2022-05-31,-0.219,-0.021,-0.128,-0.142,-0.103,-0.072
2022-06-30,-0.127,-0.008,-0.072,-0.066,-0.057,-0.036
2022-07-31,-0.131,-0.049,-0.083,-0.096,-0.064,-0.047
2022-08-31,-0.192,-0.128,-0.137,-0.153,-0.144,-0.125
2022-09-30,-0.072,-0.066,-0.054,-0.087,-0.066,-0.032
2022-10-31,-0.008,-0.017,-0.017,0.008,0.01,0.042
2022-11-30,-0.06,-0.04,-0.038,-0.035,-0.01,-0.006
2022-12-31,0.031,-0.018,0.01,0.039,0.065,0.079
2023-01-31,0.011,-0.035,-0.011,-0.007,0.028,0.044
2023-02-28,0.02,-0.014,-0.006,0.052,0.001,0.049
2023-03-31,0.014,0.019,0.002,0.046,0.005,0.049
2023-04-30,-0.027,-0.042,-0.004,0.035,-0.017,-0.004
2023-05-31,0.054,-0.007,0.063,0.081,0.063,0.076
2023-06-30,0.116,0.007,0.086,0.12,0.097,0.138
2023-07-31,0.081,-0.026,0.055,0.108,0.04,0.093
2023-08-31,0.027,-0.051,0.016,0.043,0.005,0.058
2023-09-30,0.007,-0.082,-0.011,0.003,-0.04,0.0
2023-10-31,0.069,-0.031,0.105,0.086,0.044,0.052
2023-11-30,0.11,-0.012,0.151,0.102,0.086,0.067
2023-12-31,0.117,0.003,0.115,0.092,0.089,0.029
2024-01-31,0.123,0.014,0.151,0.106,0.092,0.054
