,date,NFCI,21dma,200dma,fc_signal
0,1995-01-06,-0.41787,,,
1,1995-01-09,-0.41787,,,
2,1995-01-10,-0.41787,,,
3,1995-01-11,-0.41787,,,
4,1995-01-12,-0.41787,,,
5,1995-01-13,-0.44079,,,
6,1995-01-16,-0.44079,,,
7,1995-01-17,-0.44079,,,
8,1995-01-18,-0.44079,,,
9,1995-01-19,-0.44079,,,
10,1995-01-20,-0.47236,,,
11,1995-01-23,-0.47236,,,
12,1995-01-24,-0.47236,,,
13,1995-01-25,-0.47236,,,
14,1995-01-26,-0.47236,,,
15,1995-01-27,-0.50853,,,
16,1995-01-30,-0.50853,,,
17,1995-01-31,-0.50853,,,
18,1995-02-01,-0.50853,,,
19,1995-02-02,-0.50853,,,
20,1995-02-03,-0.5456,-0.4639690476190476,,
21,1995-02-06,-0.5456,-0.4700514285714285,,
22,1995-02-07,-0.5456,-0.47613380952380957,,
23,1995-02-08,-0.5456,-0.48221619047619046,,
24,1995-02-09,-0.5456,-0.4882985714285714,,
25,1995-02-10,-0.57959,-0.49599952380952383,,
26,1995-02-13,-0.57959,-0.5026090476190477,,
27,1995-02-14,-0.57959,-0.5092185714285714,,
28,1995-02-15,-0.57959,-0.5158280952380953,,
29,1995-02-16,-0.57959,-0.5224376190476191,,
30,1995-02-17,-0.60741,-0.5303719047619048,,
31,1995-02-20,-0.60741,-0.5368028571428571,,
32,1995-02-21,-0.60741,-0.5432338095238095,,
33,1995-02-22,-0.60741,-0.5496647619047619,,
34,1995-02-23,-0.60741,-0.5560957142857144,,
35,1995-02-24,-0.62801,-0.563507619047619,,
36,1995-02-27,-0.62801,-0.569197142857143,,
37,1995-02-28,-0.62801,-0.5748866666666667,,
38,1995-03-01,-0.62801,-0.5805761904761905,,
39,1995-03-02,-0.62801,-0.5862657142857143,,
40,1995-03-03,-0.64019,-0.5925352380952381,,
41,1995-03-06,-0.64019,-0.5970395238095239,,
42,1995-03-07,-0.64019,-0.6015438095238095,,
43,1995-03-08,-0.64019,-0.6060480952380952,,
44,1995-03-09,-0.64019,-0.610552380952381,,
45,1995-03-10,-0.6451,-0.6152904761904762,,
46,1995-03-13,-0.6451,-0.61841,,
47,1995-03-14,-0.6451,-0.6215295238095239,,
48,1995-03-15,-0.6451,-0.6246490476190476,,
49,1995-03-16,-0.6451,-0.6277685714285715,,
50,1995-03-17,-0.64608,-0.6309347619047619,,
51,1995-03-20,-0.64608,-0.6327761904761905,,
52,1995-03-21,-0.64608,-0.6346176190476192,,
53,1995-03-22,-0.64608,-0.6364590476190477,,
54,1995-03-23,-0.64608,-0.6383004761904763,,
55,1995-03-24,-0.64471,-0.6400766666666666,,
56,1995-03-27,-0.64471,-0.6408719047619047,,
57,1995-03-28,-0.64471,-0.6416671428571428,,
58,1995-03-29,-0.64471,-0.642462380952381,,
59,1995-03-30,-0.64471,-0.643257619047619,,
60,1995-03-31,-0.64432,-0.6440342857142858,,
61,1995-04-03,-0.64432,-0.6442309523809524,,
62,1995-04-04,-0.64432,-0.644427619047619,,
63,1995-04-05,-0.64432,-0.6446242857142858,,
64,1995-04-06,-0.64432,-0.6448209523809524,,
65,1995-04-07,-0.64658,-0.6451252380952381,,
66,1995-04-10,-0.64658,-0.6451957142857143,,
67,1995-04-11,-0.64658,-0.6452661904761905,,
68,1995-04-12,-0.64658,-0.6453366666666667,,
69,1995-04-13,-0.64658,-0.645407142857143,,
70,1995-04-14,-0.65313,-0.6457895238095238,,
71,1995-04-17,-0.65313,-0.6461252380952381,,
72,1995-04-18,-0.65313,-0.6464609523809524,,
73,1995-04-19,-0.65313,-0.6467966666666667,,
74,1995-04-20,-0.65313,-0.6471323809523809,,
75,1995-04-21,-0.664,-0.6479857142857144,,
76,1995-04-24,-0.664,-0.6489042857142857,,
77,1995-04-25,-0.664,-0.6498228571428571,,
78,1995-04-26,-0.664,-0.6507414285714286,,
79,1995-04-27,-0.664,-0.65166,,
80,1995-04-28,-0.67793,-0.6532419047619048,,
81,1995-05-01,-0.67793,-0.6548423809523809,,
82,1995-05-02,-0.67793,-0.6564428571428571,,
83,1995-05-03,-0.67793,-0.6580433333333333,,
84,1995-05-04,-0.67793,-0.6596438095238096,,
85,1995-05-05,-0.69275,-0.66195,,
86,1995-05-08,-0.69275,-0.6641485714285714,,
87,1995-05-09,-0.69275,-0.6663471428571428,,
88,1995-05-10,-0.69275,-0.6685457142857143,,
89,1995-05-11,-0.69275,-0.6707442857142857,,
90,1995-05-12,-0.70662,-0.6736033333333333,,
91,1995-05-15,-0.70662,-0.6761504761904762,,
92,1995-05-16,-0.70662,-0.678697619047619,,
