date,STLFSI4,5dma,fs_signal
1993-12-31,-0.3015,,
1994-01-03,-0.3015,,
1994-01-04,-0.3015,,
1994-01-05,-0.3015,,
1994-01-06,-0.3015,,
1994-01-07,-0.3795,,
1994-01-10,-0.3795,,
1994-01-11,-0.3795,,
1994-01-12,-0.3795,,
1994-01-13,-0.3795,,
1994-01-14,-0.1175,,
1994-01-17,-0.1175,,
1994-01-18,-0.1175,,
1994-01-19,-0.1175,,
1994-01-20,-0.1175,,
1994-01-21,-0.3565,,
1994-01-24,-0.3565,,
1994-01-25,-0.3565,,
1994-01-26,-0.3565,,
1994-01-27,-0.3565,,
1994-01-28,-0.2257,-0.28574761904761903,1.0
1994-01-31,-0.2257,-0.28213809523809524,1.0
1994-02-01,-0.2257,-0.2785285714285714,1.0
1994-02-02,-0.2257,-0.2749190476190476,1.0
1994-02-03,-0.2257,-0.27130952380952383,1.0
1994-02-04,-0.5248,-0.28194285714285716,1.0
1994-02-07,-0.5248,-0.28886190476190476,1.0
1994-02-08,-0.5248,-0.29578095238095237,1.0
1994-02-09,-0.5248,-0.3027,1.0
1994-02-10,-0.5248,-0.3096190476190476,1.0
1994-02-11,-0.322,-0.30688095238095237,1.0
1994-02-14,-0.322,-0.31661904761904763,1.0
1994-02-15,-0.322,-0.3263571428571429,1.0
1994-02-16,-0.322,-0.3360952380952381,1.0
1994-02-17,-0.322,-0.3458333333333333,1.0
1994-02-18,-0.3104,-0.3550190476190476,1.0
1994-02-21,-0.3104,-0.35282380952380954,1.0
1994-02-22,-0.3104,-0.3506285714285714,1.0
1994-02-23,-0.3104,-0.3484333333333333,1.0
1994-02-24,-0.3104,-0.34623809523809523,1.0
1994-02-25,-0.2831,-0.3427428571428572,1.0
1994-02-28,-0.2831,-0.3454761904761905,1.0
1994-03-01,-0.2831,-0.3482095238095238,1.0
1994-03-02,-0.2831,-0.35094285714285717,1.0
1994-03-03,-0.2831,-0.35367619047619053,1.0
1994-03-04,-0.2173,-0.35327619047619047,1.0
1994-03-07,-0.2173,-0.33863333333333334,1.0
1994-03-08,-0.2173,-0.32399047619047616,1.0
1994-03-09,-0.2173,-0.3093476190476191,1.0
1994-03-10,-0.2173,-0.2947047619047619,1.0
1994-03-11,-0.2371,-0.2810047619047619,1.0
1994-03-14,-0.2371,-0.2769619047619048,1.0
1994-03-15,-0.2371,-0.2729190476190476,1.0
1994-03-16,-0.2371,-0.2688761904761905,1.0
1994-03-17,-0.2371,-0.26483333333333337,1.0
1994-03-18,-0.1585,-0.257047619047619,1.0
1994-03-21,-0.1585,-0.2498142857142857,1.0
1994-03-22,-0.1585,-0.24258095238095237,1.0
1994-03-23,-0.1585,-0.23534761904761906,1.0
1994-03-24,-0.1585,-0.22811428571428571,1.0
1994-03-25,-0.2427,-0.22489047619047622,1.0
1994-03-28,-0.2427,-0.2229666666666667,1.0
1994-03-29,-0.2427,-0.22104285714285718,1.0
1994-03-30,-0.2427,-0.2191190476190476,1.0
1994-03-31,-0.2427,-0.21719523809523808,1.0
1994-04-01,-0.1233,-0.2095857142857143,1.0
1994-04-04,-0.1233,-0.2051095238095238,1.0
1994-04-05,-0.1233,-0.20063333333333336,1.0
1994-04-06,-0.1233,-0.19615714285714286,1.0
1994-04-07,-0.1233,-0.1916809523809524,1.0
1994-04-08,-0.1048,-0.18632380952380953,1.0
1994-04-11,-0.1048,-0.18002380952380953,1.0
1994-04-12,-0.1048,-0.17372380952380953,1.0
1994-04-13,-0.1048,-0.16742380952380953,1.0
1994-04-14,-0.1048,-0.16112380952380953,1.0
1994-04-15,-0.0357,-0.15153333333333333,1.0
1994-04-18,-0.0357,-0.14568571428571428,1.0
1994-04-19,-0.0357,-0.13983809523809523,1.0
1994-04-20,-0.0357,-0.1339904761904762,1.0
1994-04-21,-0.0357,-0.12814285714285717,1.0
1994-04-22,-0.1876,-0.12952857142857144,1.0
1994-04-25,-0.1876,-0.1269047619047619,1.0
1994-04-26,-0.1876,-0.12428095238095237,1.0
1994-04-27,-0.1876,-0.12165714285714287,1.0
1994-04-28,-0.1876,-0.11903333333333332,1.0
1994-04-29,-0.0975,-0.1121190476190476,1.0
1994-05-02,-0.0975,-0.11089047619047619,1.0
1994-05-03,-0.0975,-0.10966190476190475,1.0
1994-05-04,-0.0975,-0.10843333333333333,1.0
1994-05-05,-0.0975,-0.10720476190476191,1.0
1994-05-06,-0.3908,-0.11994285714285716,1.0
1994-05-09,-0.3908,-0.13356190476190477,1.0
1994-05-10,-0.3908,-0.14718095238095236,1.0
1994-05-11,-0.3908,-0.1608,1.0
1994-05-12,-0.3908,-0.1744190476190476,1.0
1994-05-13,-0.1627,-0.17717619047619046,1.0
1994-05-16,-0.1627,-0.18322380952380954,1.0
1994-05-17,-0.1627,-0.18927142857142856,1.0
1994-05-18,-0.1627,-0.19531904761904761,1.0
1994-05-19,-0.1627,-0.20136666666666667,1.0
1994-05-20,-0.0601,-0.20252857142857142,1.0
1994-05-23,-0.0601,-0.19645714285714283,1.0
1994-05-24,-0.0601,-0.1903857142857143,1.0
1994-05-25,-0.0601,-0.1843142857142857,1.0
1994-05-26,-0.0601,-0.17824285714285715,1.0
1994-05-27,-0.2029,-0.17897142857142856,1.0
1994-05-30,-0.2029,-0.18399047619047618,1.0
1994-05-31,-0.2029,-0.1890095238095238,1.0
1994-06-01,-0.2029,-0.19402857142857144,1.0
1994-06-02,-0.2029,-0.19904761904761903,1.0
1994-06-03,-0.0606,-0.19729047619047618,1.0
1994-06-06,-0.0606,-0.18156666666666665,1.0
1994-06-07,-0.0606,-0.16584285714285715,1.0
1994-06-08,-0.0606,-0.15011904761904762,1.0
1994-06-09,-0.0606,-0.1343952380952381,1.0
1994-06-10,0.0273,-0.1144857142857143,1.0
1994-06-13,0.0273,-0.10543809523809523,1.0
1994-06-14,0.0273,-0.0963904761904762,1.0
1994-06-15,0.0273,-0.08734285714285714,1.0
1994-06-16,0.0273,-0.0782952380952381,1.0
1994-06-17,-0.2046,-0.08029047619047619,1.0
1994-06-20,-0.2046,-0.08717142857142857,1.0
1994-06-21,-0.2046,-0.09405238095238094,1.0
1994-06-22,-0.2046,-0.10093333333333335,1.0
1994-06-23,-0.2046,-0.10781428571428571,1.0
1994-06-24,-0.1071,-0.11005238095238096,1.0
1994-06-27,-0.1071,-0.10549047619047619,1.0
1994-06-28,-0.1071,-0.10092857142857142,1.0
1994-06-29,-0.1071,-0.09636666666666666,1.0
1994-06-30,-0.1071,-0.0918047619047619,1.0
1994-07-01,-0.1671,-0.0901,1.0
1994-07-04,-0.1671,-0.09517142857142857,1.0
1994-07-05,-0.1671,-0.10024285714285715,1.0
1994-07-06,-0.1671,-0.10531428571428572,1.0
1994-07-07,-0.1671,-0.1103857142857143,1.0
1994-07-08,-0.0143,-0.10818095238095239,1.0
1994-07-11,-0.0143,-0.11016190476190477,1.0
1994-07-12,-0.0143,-0.11214285714285714,1.0
1994-07-13,-0.0143,-0.11412380952380954,1.0
1994-07-14,-0.0143,-0.1161047619047619,1.0
1994-07-15,-0.1083,-0.12256190476190476,1.0
1994-07-18,-0.1083,-0.11797619047619048,1.0
1994-07-19,-0.1083,-0.1133904761904762,1.0
1994-07-20,-0.1083,-0.1088047619047619,1.0
1994-07-21,-0.1083,-0.10421904761904763,1.0
1994-07-22,-0.0831,-0.09843333333333333,1.0
1994-07-25,-0.0831,-0.09729047619047619,1.0
1994-07-26,-0.0831,-0.09614761904761904,1.0
1994-07-27,-0.0831,-0.0950047619047619,1.0
1994-07-28,-0.0831,-0.09386190476190476,1.0
1994-07-29,-0.2235,-0.0994047619047619,1.0
1994-08-01,-0.2235,-0.10209047619047619,1.0
1994-08-02,-0.2235,-0.10477619047619047,1.0
1994-08-03,-0.2235,-0.10746190476190476,1.0
1994-08-04,-0.2235,-0.11014761904761905,1.0
1994-08-05,-0.136,-0.10866666666666666,1.0
1994-08-08,-0.136,-0.11446190476190475,1.0
1994-08-09,-0.136,-0.12025714285714285,1.0
1994-08-10,-0.136,-0.12605238095238094,1.0
1994-08-11,-0.136,-0.13184761904761905,1.0
1994-08-12,-0.3182,-0.1463190476190476,1.0
1994-08-15,-0.3182,-0.1563142857142857,1.0
1994-08-16,-0.3182,-0.1663095238095238,1.0
1994-08-17,-0.3182,-0.1763047619047619,1.0
1994-08-18,-0.3182,-0.1863,1.0
1994-08-19,-0.348,-0.19771428571428573,1.0
1994-08-22,-0.348,-0.21032857142857142,1.0
1994-08-23,-0.348,-0.22294285714285714,1.0
1994-08-24,-0.348,-0.23555714285714285,1.0
1994-08-25,-0.348,-0.24817142857142857,1.0
1994-08-26,-0.3237,-0.25962857142857143,1.0
1994-08-29,-0.3237,-0.2644,1.0
1994-08-30,-0.3237,-0.26917142857142856,1.0
1994-08-31,-0.3237,-0.27394285714285715,1.0
1994-09-01,-0.3237,-0.2787142857142857,1.0
1994-09-02,-0.2087,-0.2780095238095238,1.0
1994-09-05,-0.2087,-0.28147142857142854,1.0
1994-09-06,-0.2087,-0.2849333333333333,1.0
1994-09-07,-0.2087,-0.28839523809523804,1.0
1994-09-08,-0.2087,-0.2918571428571428,1.0
1994-09-09,-0.302,-0.2997619047619048,1.0
1994-09-12,-0.302,-0.29899047619047614,1.0
1994-09-13,-0.302,-0.29821904761904755,1.0
1994-09-14,-0.302,-0.297447619047619,1.0
1994-09-15,-0.302,-0.2966761904761905,1.0
1994-09-16,-0.2981,-0.2957190476190476,1.0
1994-09-19,-0.2981,-0.2933428571428571,1.0
1994-09-20,-0.2981,-0.29096666666666665,1.0
1994-09-21,-0.2981,-0.2885904761904762,1.0
1994-09-22,-0.2981,-0.2862142857142857,1.0
1994-09-23,-0.34,-0.28583333333333333,1.0
1994-09-26,-0.34,-0.2866095238095238,1.0
1994-09-27,-0.34,-0.2873857142857143,1.0
1994-09-28,-0.34,-0.2881619047619048,1.0
1994-09-29,-0.34,-0.2889380952380952,1.0
1994-09-30,-0.2216,-0.2840761904761905,1.0
1994-10-03,-0.2216,-0.28469047619047616,1.0
1994-10-04,-0.2216,-0.28530476190476195,1.0
1994-10-05,-0.2216,-0.28591904761904763,1.0
1994-10-06,-0.2216,-0.2865333333333333,1.0
1994-10-07,-0.2392,-0.2879857142857143,1.0
1994-10-10,-0.2392,-0.2849952380952381,1.0
1994-10-11,-0.2392,-0.28200476190476187,1.0
1994-10-12,-0.2392,-0.2790142857142857,1.0
1994-10-13,-0.2392,-0.2760238095238095,1.0
1994-10-14,-0.0141,-0.2623142857142857,1.0
1994-10-17,-0.0141,-0.24879047619047623,1.0
1994-10-18,-0.0141,-0.23526666666666665,1.0
1994-10-19,-0.0141,-0.22174285714285716,1.0
1994-10-20,-0.0141,-0.20821904761904764,1.0
1994-10-21,-0.1757,-0.2023904761904762,1.0
1994-10-24,-0.1757,-0.19456666666666664,1.0
1994-10-25,-0.1757,-0.18674285714285715,1.0
1994-10-26,-0.1757,-0.17891904761904762,1.0
1994-10-27,-0.1757,-0.1710952380952381,1.0
1994-10-28,-0.2223,-0.1654904761904762,1.0
1994-10-31,-0.2223,-0.16552380952380952,1.0
1994-11-01,-0.2223,-0.16555714285714287,1.0
1994-11-02,-0.2223,-0.16559047619047618,1.0
1994-11-03,-0.2223,-0.16562380952380953,1.0
1994-11-04,-0.1827,-0.16377142857142857,1.0
1994-11-07,-0.1827,-0.16108095238095238,1.0
1994-11-08,-0.1827,-0.15839047619047616,1.0
1994-11-09,-0.1827,-0.1557,1.0
1994-11-10,-0.1827,-0.15300952380952382,1.0
1994-11-11,-0.2549,-0.15375714285714287,1.0
1994-11-14,-0.2549,-0.16522380952380955,1.0
1994-11-15,-0.2549,-0.1766904761904762,1.0
1994-11-16,-0.2549,-0.18815714285714286,1.0
1994-11-17,-0.2549,-0.1996238095238095,1.0
1994-11-18,-0.4124,-0.21859047619047622,1.0
1994-11-21,-0.4124,-0.2298619047619048,1.0
1994-11-22,-0.4124,-0.24113333333333337,1.0
1994-11-23,-0.4124,-0.2524047619047619,1.0
1994-11-24,-0.4124,-0.2636761904761905,1.0
1994-11-25,-0.204,-0.26502380952380955,1.0
1994-11-28,-0.204,-0.26415238095238097,1.0
1994-11-29,-0.204,-0.2632809523809524,1.0
1994-11-30,-0.204,-0.2624095238095238,1.0
1994-12-01,-0.204,-0.2615380952380952,1.0
1994-12-02,-0.2034,-0.2606380952380952,1.0
1994-12-05,-0.2034,-0.26162380952380954,1.0
1994-12-06,-0.2034,-0.2626095238095238,1.0
1994-12-07,-0.2034,-0.2635952380952381,1.0
1994-12-08,-0.2034,-0.26458095238095236,1.0
1994-12-09,-0.1958,-0.2652047619047619,1.0
1994-12-12,-0.1958,-0.2623904761904762,1.0
1994-12-13,-0.1958,-0.25957619047619046,1.0
1994-12-14,-0.1958,-0.25676190476190475,1.0
1994-12-15,-0.1958,-0.2539476190476191,1.0
1994-12-16,-0.2242,-0.2524857142857143,1.0
1994-12-19,-0.2242,-0.24352380952380953,1.0
1994-12-20,-0.2242,-0.23456190476190475,1.0
1994-12-21,-0.2242,-0.22559999999999997,1.0
1994-12-22,-0.2242,-0.2166380952380952,1.0
1994-12-23,-0.1721,-0.2051952380952381,1.0
1994-12-26,-0.1721,-0.2036761904761905,1.0
1994-12-27,-0.1721,-0.20215714285714284,1.0
1994-12-28,-0.1721,-0.20063809523809523,1.0
1994-12-29,-0.1721,-0.1991190476190476,1.0
1994-12-30,-0.0408,-0.19134761904761904,1.0
1995-01-02,-0.0408,-0.1836047619047619,1.0
1995-01-03,-0.0408,-0.17586190476190475,1.0
1995-01-04,-0.0408,-0.1681190476190476,1.0
1995-01-05,-0.0408,-0.16037619047619045,1.0
1995-01-06,-0.2814,-0.16409047619047618,1.0
1995-01-09,-0.2814,-0.16816666666666666,1.0
1995-01-10,-0.2814,-0.17224285714285714,1.0
1995-01-11,-0.2814,-0.17631904761904763,1.0
1995-01-12,-0.2814,-0.1803952380952381,1.0
1995-01-13,-0.0413,-0.17303809523809524,1.0
1995-01-16,-0.0413,-0.16432857142857143,1.0
1995-01-17,-0.0413,-0.1556190476190476,1.0
1995-01-18,-0.0413,-0.1469095238095238,1.0
1995-01-19,-0.0413,-0.13820000000000002,1.0
1995-01-20,-0.3561,-0.14448095238095238,1.0
1995-01-23,-0.3561,-0.15324285714285715,1.0
1995-01-24,-0.3561,-0.16200476190476193,1.0
1995-01-25,-0.3561,-0.17076666666666668,1.0
1995-01-26,-0.3561,-0.17952857142857143,1.0
1995-01-27,-0.3499,-0.1879952380952381,1.0
1995-01-30,-0.3499,-0.2027142857142857,1.0
1995-01-31,-0.3499,-0.21743333333333337,1.0
1995-02-01,-0.3499,-0.23215238095238097,1.0
1995-02-02,-0.3499,-0.24687142857142857,1.0
1995-02-03,-0.3609,-0.26211428571428574,1.0
1995-02-06,-0.3609,-0.26589999999999997,1.0
1995-02-07,-0.3609,-0.2696857142857143,1.0
1995-02-08,-0.3609,-0.2734714285714286,1.0
1995-02-09,-0.3609,-0.27725714285714287,1.0
1995-02-10,-0.4451,-0.28505238095238095,1.0
1995-02-13,-0.4451,-0.30428095238095243,1.0
1995-02-14,-0.4451,-0.3235095238095238,1.0
1995-02-15,-0.4451,-0.3427380952380953,1.0
1995-02-16,-0.4451,-0.36196666666666666,1.0
1995-02-17,-0.2189,-0.37042380952380954,1.0
1995-02-20,-0.2189,-0.3638904761904762,1.0
1995-02-21,-0.2189,-0.3573571428571429,1.0
1995-02-22,-0.2189,-0.35082380952380954,1.0
1995-02-23,-0.2189,-0.3442904761904762,1.0
1995-02-24,-0.2488,-0.33918095238095236,1.0
1995-02-27,-0.2488,-0.33436666666666665,1.0
1995-02-28,-0.2488,-0.329552380952381,1.0
