,index,date,mb_signal,vol_breadth_signal,fs_signal,hy_signal,valuation_spread_signal,audchf_signal,correlation_signal,PMI_signal,fc_signal,indpro_signal,close,market_vol_cross,market_cross,RM_Score,rm_score,technical_score,volatility_score,economic_growth_score,financial_conditions_score,sentiment_score,1M,3M
0,0,1997-12-31,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
1,1,1998-01-02,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
2,2,1998-01-05,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
3,3,1998-01-06,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
4,4,1998-01-07,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
5,5,1998-01-08,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
6,6,1998-01-09,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
7,7,1998-01-12,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
8,8,1998-01-13,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
9,9,1998-01-14,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
10,10,1998-01-15,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
11,11,1998-01-16,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
12,12,1998-01-20,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
13,13,1998-01-21,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
14,14,1998-01-22,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
15,15,1998-01-23,,,1.0,0.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,
16,16,1998-01-26,,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
17,17,1998-01-27,,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
18,18,1998-01-28,,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
19,19,1998-01-29,,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
20,20,1998-01-30,0.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
21,21,1998-02-02,0.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
22,22,1998-02-03,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
23,23,1998-02-04,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
24,24,1998-02-05,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
25,25,1998-02-06,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
26,26,1998-02-09,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
27,27,1998-02-10,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
28,28,1998-02-11,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
29,29,1998-02-12,1.0,,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,2.0,,,
30,30,1998-02-13,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
31,31,1998-02-17,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
32,32,1998-02-18,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
33,33,1998-02-19,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
34,34,1998-02-20,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
35,35,1998-02-23,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
36,36,1998-02-24,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
37,37,1998-02-25,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
38,38,1998-02-26,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
39,39,1998-02-27,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
40,40,1998-03-02,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
41,41,1998-03-03,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
42,42,1998-03-04,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
43,43,1998-03-05,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
44,44,1998-03-06,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
45,45,1998-03-09,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
46,46,1998-03-10,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
47,47,1998-03-11,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
48,48,1998-03-12,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
49,49,1998-03-13,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
50,50,1998-03-16,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
51,51,1998-03-17,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
52,52,1998-03-18,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
53,53,1998-03-19,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
54,54,1998-03-20,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
55,55,1998-03-23,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
56,56,1998-03-24,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
57,57,1998-03-25,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
58,58,1998-03-26,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
59,59,1998-03-27,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
60,60,1998-03-30,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
61,61,1998-03-31,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
62,62,1998-04-01,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
63,63,1998-04-02,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
64,64,1998-04-03,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
65,65,1998-04-06,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
66,66,1998-04-07,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
67,67,1998-04-08,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
68,68,1998-04-09,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
69,69,1998-04-13,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,,
70,70,1998-04-14,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
71,71,1998-04-15,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
72,72,1998-04-16,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
73,73,1998-04-17,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
74,74,1998-04-20,1.0,,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,
