,date,ticker,mfp,sector,industry,scalemarketcap,qMO,qValue,qQuality,qLV,qSentiment,qGrowth
1422,2018-10-31,MKC,qMO,Consumer Defensive,Packaged Foods,5 - Large,1.0,0.39791937581274384,0.5147058823529411,0.8821989528795812,0.6296774193548387,0.9069148936170213
1423,2018-10-31,LW,qMO,Consumer Defensive,Packaged Foods,5 - Large,0.9986859395532195,0.25487646293888166,0.4304812834224599,0.7958115183246073,0.5703225806451613,0.6928191489361702
1424,2018-10-31,CME,qMO,Financial Services,Financial Data & Stock Exchanges,5 - Large,0.9973718791064389,0.20546163849154747,0.04411764705882353,0.7617801047120419,0.5135483870967742,0.836436170212766
1425,2018-10-31,VZ,qMO,Communication Services,Telecom Services,6 - Mega,0.9960578186596584,0.9219765929778934,0.6671122994652406,0.9554973821989529,0.7341935483870967,0.761968085106383
1426,2018-10-31,VZ,qLV,Communication Services,Telecom Services,6 - Mega,0.9960578186596584,0.9219765929778934,0.6671122994652406,0.9554973821989529,0.7341935483870967,0.761968085106383
1427,2018-10-31,O,qMO,Real Estate,REIT - Retail,5 - Large,0.9947437582128777,0.3914174252275683,0.14705882352941177,0.9528795811518325,0.6632258064516129,0.17553191489361702
1428,2018-10-31,O,qLV,Real Estate,REIT - Retail,5 - Large,0.9947437582128777,0.3914174252275683,0.14705882352941177,0.9528795811518325,0.6632258064516129,0.17553191489361702
1429,2018-10-31,FE,qMO,Utilities,Utilities - Diversified,5 - Large,0.9934296977660972,0.48764629388816644,0.23796791443850268,0.8010471204188482,0.9238709677419354,0.011968085106382979
1430,2018-10-31,CHD,qMO,Consumer Defensive,Household & Personal Products,5 - Large,0.9921156373193167,0.517555266579974,0.7687165775401069,0.5890052356020943,0.7083870967741935,0.8789893617021277
1431,2018-10-31,AES,qMO,Utilities,Utilities - Diversified,5 - Large,0.9908015768725361,0.7906371911573472,0.5735294117647058,0.35471204188481675,0.984516129032258,0.05319148936170213
1432,2018-10-31,AES,qSentiment,Utilities,Utilities - Diversified,5 - Large,0.9908015768725361,0.7906371911573472,0.5735294117647058,0.35471204188481675,0.984516129032258,0.05319148936170213
1433,2018-10-31,AMT,qMO,Real Estate,REIT - Specialty,5 - Large,0.9894875164257556,0.22756827048114434,0.31283422459893045,0.6348167539267016,0.272258064516129,0.35771276595744683
1434,2018-10-31,SAM,qMO,Consumer Defensive,Beverages - Brewers,5 - Large,0.988173455978975,0.3328998699609883,0.8703208556149733,0.31675392670157065,0.04645161290322586,0.4720744680851064
1435,2018-10-31,NNN,qMO,Real Estate,REIT - Retail,5 - Large,0.9868593955321945,0.5708712613784135,0.08689839572192513,0.9201570680628273,0.72,0.2712765957446808
1436,2018-10-31,DECK,qMO,Consumer Cyclical,Footwear & Accessories,4 - Mid,0.986815415821501,0.7155511811023622,0.9928425357873211,0.6102204408817635,0.04034582132564846,0.935856992639327
1437,2018-10-31,DECK,qQuality,Consumer Cyclical,Footwear & Accessories,4 - Mid,0.986815415821501,0.7155511811023622,0.9928425357873211,0.6102204408817635,0.04034582132564846,0.935856992639327
1438,2018-10-31,PEAK,qMO,Real Estate,REIT - Healthcare Facilities,5 - Large,0.985545335085414,0.5188556566970091,0.17780748663101603,0.8573298429319371,0.8864516129032258,0.30186170212765956
1439,2018-10-31,PEN,qMO,Healthcare,Medical Devices,5 - Large,0.9842312746386334,0.0494148244473342,0.4411764705882353,0.28664921465968585,0.46451612903225803,0.9986702127659575
1440,2018-10-31,PEN,qGrowth,Healthcare,Medical Devices,5 - Large,0.9842312746386334,0.0494148244473342,0.4411764705882353,0.28664921465968585,0.46451612903225803,0.9986702127659575
1441,2018-10-31,MKTX,qMO,Financial Services,Capital Markets,5 - Large,0.9829172141918529,0.013003901170351105,0.37967914438502676,0.7290575916230366,0.07741935483870965,0.4348404255319149
1442,2018-10-31,TJX,qMO,Consumer Cyclical,Apparel Retail,5 - Large,0.9816031537450722,0.5279583875162549,0.893048128342246,0.975130890052356,0.8696774193548387,0.5691489361702128
1443,2018-10-31,TJX,qLV,Consumer Cyclical,Apparel Retail,5 - Large,0.9816031537450722,0.5279583875162549,0.893048128342246,0.975130890052356,0.8696774193548387,0.5691489361702128
1444,2018-10-31,AJG,qMO,Financial Services,Insurance Brokers,5 - Large,0.9802890932982917,0.16644993498049415,0.24598930481283424,0.725130890052356,0.6851612903225807,0.8377659574468085
1445,2018-10-31,ECL,qMO,Basic Materials,Specialty Chemicals,5 - Large,0.9789750328515112,0.41092327698309494,0.6497326203208557,0.8416230366492147,0.3548387096774194,0.3976063829787234
1446,2018-10-31,HRL,qMO,Consumer Defensive,Packaged Foods,5 - Large,0.9776609724047306,0.5266579973992198,0.7874331550802139,0.7853403141361257,0.775483870967742,0.4973404255319149
1447,2018-10-31,MPW,qMO,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9763469119579501,0.682704811443433,0.05213903743315508,0.8782722513089005,0.9754838709677419,0.8882978723404256
1448,2018-10-31,MPW,qSentiment,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9763469119579501,0.682704811443433,0.05213903743315508,0.8782722513089005,0.9754838709677419,0.8882978723404256
1449,2018-10-31,MRK,qMO,Healthcare,Drug Manufacturers - General,6 - Mega,0.9750328515111695,0.18985695708712613,0.8529411764705882,0.9227748691099477,0.7664516129032258,0.0678191489361702
1450,2018-10-31,CMS,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.973718791064389,0.8244473342002601,0.5481283422459893,0.8115183246073299,0.9032258064516129,0.5013297872340425
1451,2018-10-31,NRG,qMO,Utilities,Utilities - Independent Power Producers,5 - Large,0.9724047306176085,0.6775032509752926,0.27540106951871657,0.675392670157068,0.9135483870967742,0.35904255319148937
1452,2018-10-31,AAP,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9710906701708278,0.6749024707412223,0.660427807486631,0.11649214659685864,0.47096774193548385,0.574468085106383
1453,2018-10-31,AEP,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9697766097240473,0.8699609882964889,0.3890374331550802,0.7369109947643979,0.7445161290322581,0.425531914893617
1454,2018-10-31,ORLY,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9684625492772667,0.52925877763329,0.8903743315508021,0.506544502617801,0.12774193548387092,0.738031914893617
1455,2018-10-31,AON,qMO,Financial Services,Insurance Brokers,5 - Large,0.9671484888304862,0.06241872561768531,0.29411764705882354,0.7722513089005235,0.3716129032258064,0.3058510638297872
1456,2018-10-31,BURL,qMO,Consumer Cyclical,Apparel Retail,5 - Large,0.9658344283837057,0.6215864759427828,0.8622994652406417,0.2879581151832461,0.13806451612903226,0.8643617021276596
1457,2018-10-31,VIAV,qMO,Technology,Communication Equipment,5 - Large,0.9645203679369251,0.07932379713914174,0.34358288770053474,0.5575916230366492,0.9548387096774194,0.09707446808510638
1458,2018-10-31,VIAV,qSentiment,Technology,Communication Equipment,5 - Large,0.9645203679369251,0.07932379713914174,0.34358288770053474,0.5575916230366492,0.9548387096774194,0.09707446808510638
1459,2018-10-31,OMC,qMO,Consumer Cyclical,Advertising Agencies,5 - Large,0.9632063074901446,0.9258777633289987,0.9024064171122995,0.6963350785340314,0.46580645161290324,0.4627659574468085
1460,2018-10-31,BAH,qMO,Industrials,Consulting Services,5 - Large,0.961892247043364,0.7191157347204161,0.7085561497326203,0.650523560209424,0.8658064516129033,0.8125
1461,2018-10-31,VRSK,qMO,Industrials,Consulting Services,5 - Large,0.9605781865965834,0.2613784135240572,0.8342245989304813,0.9908376963350786,0.5329032258064517,0.8497340425531915
1462,2018-10-31,VRSK,qLV,Industrials,Consulting Services,5 - Large,0.9605781865965834,0.2613784135240572,0.8342245989304813,0.9908376963350786,0.5329032258064517,0.8497340425531915
1463,2018-10-31,UAA,qMO,Consumer Cyclical,Apparel Manufacturing,5 - Large,0.9592641261498029,0.37711313394018203,0.21657754010695188,0.25,0.7483870967741936,0.11037234042553191
1464,2018-10-31,IPG,qMO,Consumer Cyclical,Advertising Agencies,5 - Large,0.9579500657030223,0.8478543563068921,0.5762032085561497,0.40575916230366493,0.8529032258064516,0.8603723404255319
1465,2018-10-31,UIS,qMO,Technology,Information Technology Services,5 - Large,0.9566360052562418,0.7074122236671001,0.3449197860962567,0.3102094240837696,0.9264516129032259,0.31117021276595747
1466,2018-10-31,NEE,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9553219448094612,0.729518855656697,0.4625668449197861,0.9568062827225131,0.9470967741935484,0.40691489361702127
1467,2018-10-31,NEE,qSentiment,Utilities,Utilities - Regulated Electric,5 - Large,0.9553219448094612,0.729518855656697,0.4625668449197861,0.9568062827225131,0.9470967741935484,0.40691489361702127
1468,2018-10-31,NEE,qLV,Utilities,Utilities - Regulated Electric,5 - Large,0.9553219448094612,0.729518855656697,0.4625668449197861,0.9568062827225131,0.9470967741935484,0.40691489361702127
1469,2018-10-31,CABO,qMO,Communication Services,Telecom Services,5 - Large,0.9540078843626807,0.5890767230169051,0.7647058823529411,0.6151832460732984,0.03354838709677421,0.9627659574468085
1470,2018-10-31,CABO,qGrowth,Communication Services,Telecom Services,5 - Large,0.9540078843626807,0.5890767230169051,0.7647058823529411,0.6151832460732984,0.03354838709677421,0.9627659574468085
1471,2018-10-31,ESS,qMO,Real Estate,REIT - Residential,5 - Large,0.9526938239159002,0.42522756827048114,0.12967914438502673,0.7814136125654451,0.25419354838709673,0.22739361702127658
1472,2018-10-31,ICE,qMO,Financial Services,Financial Data & Stock Exchanges,5 - Large,0.9513797634691196,0.22496749024707413,0.22994652406417113,0.8232984293193717,0.7703225806451612,0.6183510638297872
1473,2018-10-31,ENDP,qMO,Healthcare,Drug Manufacturers - Specialty & Generic,5 - Large,0.9500657030223391,0.4213263979193758,0.3088235294117647,0.04450261780104712,0.9341935483870968,0.17952127659574468
1474,2018-10-31,ANTM,qMO,Healthcare,Healthcare Plans,5 - Large,0.9487516425755584,0.577373211963589,0.3983957219251337,0.581151832460733,0.2412903225806452,0.19680851063829788
1475,2018-10-31,WEC,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9474375821287779,0.7893368010403121,0.41711229946524064,0.9947643979057592,0.7729032258064517,0.32978723404255317
1476,2018-10-31,WEC,qLV,Utilities,Utilities - Regulated Electric,5 - Large,0.9474375821287779,0.7893368010403121,0.41711229946524064,0.9947643979057592,0.7729032258064517,0.32978723404255317
1477,2018-10-31,CIEN,qMO,Technology,Communication Equipment,5 - Large,0.9461235216819974,0.5383615084525357,0.31016042780748665,0.17277486910994763,0.8761290322580645,0.8058510638297872
1478,2018-10-31,MDB,qMO,Technology,Software - Infrastructure,5 - Large,0.9448094612352168,0.002600780234070221,0.03074866310160428,0.10340314136125654,0.29161290322580646,0.04521276595744681
1479,2018-10-31,PEG,qMO,Utilities,Utilities - Diversified,5 - Large,0.9434954007884363,0.8504551365409623,0.32754010695187163,0.9659685863874345,0.8141935483870968,0.45478723404255317
1480,2018-10-31,PEG,qLV,Utilities,Utilities - Diversified,5 - Large,0.9434954007884363,0.8504551365409623,0.32754010695187163,0.9659685863874345,0.8141935483870968,0.45478723404255317
1481,2018-10-31,JKHY,qMO,Technology,Information Technology Services,5 - Large,0.9421813403416557,0.09752925877763328,0.8917112299465241,0.8704188481675392,0.37419354838709673,0.6462765957446809
1482,2018-10-31,PFE,qMO,Healthcare,Drug Manufacturers - General,6 - Mega,0.9408672798948752,0.6618985695708712,0.8128342245989305,0.943717277486911,0.8554838709677419,0.598404255319149
1483,2018-10-31,PFE,qLV,Healthcare,Drug Manufacturers - General,6 - Mega,0.9408672798948752,0.6618985695708712,0.8128342245989305,0.943717277486911,0.8554838709677419,0.598404255319149
1484,2018-10-31,DTE,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9395532194480947,0.8569570871261378,0.3609625668449198,0.8442408376963351,0.5832258064516129,0.7420212765957447
1485,2018-10-31,CCO,qMO,Consumer Cyclical,Advertising Agencies,5 - Large,0.938239159001314,0.435630689206762,0.22192513368983957,0.04842931937172775,0.9909677419354839,0.11702127659574468
1486,2018-10-31,CCO,qSentiment,Consumer Cyclical,Advertising Agencies,5 - Large,0.938239159001314,0.435630689206762,0.22192513368983957,0.04842931937172775,0.9909677419354839,0.11702127659574468
1487,2018-10-31,AAPL,qMO,Technology,Consumer Electronics,6 - Mega,0.9369250985545335,0.4538361508452536,0.9491978609625669,0.34293193717277487,0.76,0.7845744680851063
1488,2018-10-31,AAPL,qQuality,Technology,Consumer Electronics,6 - Mega,0.9369250985545335,0.4538361508452536,0.9491978609625669,0.34293193717277487,0.76,0.7845744680851063
1489,2018-11-30,CHD,qMO,Consumer Defensive,Household & Personal Products,5 - Large,1.0,0.48249027237354086,0.7733333333333333,0.4306282722513089,0.8369704749679076,0.9244031830238727
1490,2018-11-30,LW,qMO,Consumer Defensive,Packaged Foods,5 - Large,0.9986876640419947,0.23994811932555124,0.42933333333333334,0.7892670157068062,0.4005134788189987,0.6816976127320955
1491,2018-11-30,NNN,qMO,Real Estate,REIT - Retail,5 - Large,0.9973753280839895,0.5771725032425421,0.092,0.9358638743455497,0.8292682926829268,0.33554376657824936
1492,2018-11-30,UAL,qMO,Industrials,Airlines,5 - Large,0.9960629921259843,0.9623865110246433,0.7106666666666667,0.6465968586387435,0.4326059050064185,0.9005305039787799
1493,2018-11-30,UAL,qValue,Industrials,Airlines,5 - Large,0.9960629921259843,0.9623865110246433,0.7106666666666667,0.6465968586387435,0.4326059050064185,0.9005305039787799
1494,2018-11-30,HZNP,qMO,Healthcare,Drug Manufacturers - General,5 - Large,0.994750656167979,0.4487678339818418,0.24666666666666667,0.15837696335078533,0.7342747111681643,0.04509283819628647
1495,2018-11-30,PEAK,qMO,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9934383202099738,0.4695201037613489,0.17466666666666666,0.8835078534031413,0.9525032092426188,0.3090185676392573
1496,2018-11-30,PEAK,qSentiment,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9934383202099738,0.4695201037613489,0.17466666666666666,0.8835078534031413,0.9525032092426188,0.3090185676392573
1497,2018-11-30,NRG,qMO,Utilities,Utilities - Independent Power Producers,5 - Large,0.9921259842519685,0.6536964980544747,0.31733333333333336,0.6662303664921466,0.8408215661103979,0.4297082228116711
1498,2018-11-30,ULTA,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9908136482939632,0.5071335927367056,0.9493333333333334,0.6178010471204188,0.02695763799743256,0.8819628647214854
1499,2018-11-30,ULTA,qQuality,Consumer Cyclical,Specialty Retail,5 - Large,0.9908136482939632,0.5071335927367056,0.9493333333333334,0.6178010471204188,0.02695763799743256,0.8819628647214854
1500,2018-11-30,HRL,qMO,Consumer Defensive,Packaged Foods,5 - Large,0.989501312335958,0.5265888456549935,0.784,0.7958115183246073,0.8575096277278562,0.4509283819628647
1501,2018-11-30,MPW,qMO,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9881889763779528,0.8638132295719845,0.112,0.8730366492146597,0.9358151476251605,0.9681697612732095
1502,2018-11-30,MPW,qGrowth,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9881889763779528,0.8638132295719845,0.112,0.8730366492146597,0.9358151476251605,0.9681697612732095
1503,2018-11-30,AJG,qMO,Financial Services,Insurance Brokers,5 - Large,0.9868766404199475,0.15953307392996108,0.25333333333333335,0.7722513089005235,0.7073170731707317,0.8236074270557029
1504,2018-11-30,AON,qMO,Financial Services,Insurance Brokers,5 - Large,0.9855643044619422,0.0609597924773022,0.3,0.7630890052356021,0.3350449293966624,0.3129973474801061
1505,2018-11-30,CME,qMO,Financial Services,Financial Data & Stock Exchanges,5 - Large,0.984251968503937,0.19714656290531776,0.050666666666666665,0.7643979057591623,0.2708600770218228,0.8408488063660478
1506,2018-11-30,GNW,qMO,Financial Services,Insurance - Life,5 - Large,0.9829396325459318,0.45006485084306097,0.10533333333333333,0.07853403141361257,0.9845956354300385,0.25862068965517243
1507,2018-11-30,GNW,qSentiment,Financial Services,Insurance - Life,5 - Large,0.9829396325459318,0.45006485084306097,0.10533333333333333,0.07853403141361257,0.9845956354300385,0.25862068965517243
1508,2018-11-30,O,qMO,Real Estate,REIT - Retail,5 - Large,0.9816272965879265,0.34889753566796367,0.14933333333333335,0.9568062827225131,0.7291399229781772,0.20291777188328913
1509,2018-11-30,O,qLV,Real Estate,REIT - Retail,5 - Large,0.9816272965879265,0.34889753566796367,0.14933333333333335,0.9568062827225131,0.7291399229781772,0.20291777188328913
1510,2018-11-30,BLL,qMO,Consumer Cyclical,Packaging & Containers,5 - Large,0.9803149606299213,0.6835278858625162,0.5893333333333334,0.6321989528795812,0.8061617458279846,0.8156498673740054
1511,2018-11-30,BFAM,qMO,Consumer Cyclical,Personal Services,5 - Large,0.979002624671916,0.25810635538262,0.584,0.6767015706806283,0.5340179717586649,0.6180371352785146
1512,2018-11-30,SBUX,qMO,Consumer Cyclical,Restaurants,5 - Large,0.9776902887139107,0.7730220492866408,0.9986666666666667,0.8089005235602095,0.42105263157894735,0.9509283819628647
1513,2018-11-30,SBUX,qQuality,Consumer Cyclical,Restaurants,5 - Large,0.9776902887139107,0.7730220492866408,0.9986666666666667,0.8089005235602095,0.42105263157894735,0.9509283819628647
1514,2018-11-30,SBUX,qGrowth,Consumer Cyclical,Restaurants,5 - Large,0.9776902887139107,0.7730220492866408,0.9986666666666667,0.8089005235602095,0.42105263157894735,0.9509283819628647
1515,2018-11-30,RGEN,qMO,Healthcare,Medical Instruments & Supplies,5 - Large,0.9763779527559056,0.08949416342412451,0.5533333333333333,0.4096858638743455,0.46598202824133506,0.9151193633952255
1516,2018-11-30,CLX,qMO,Consumer Defensive,Household & Personal Products,5 - Large,0.9750656167979003,0.4565499351491569,0.8533333333333334,0.5340314136125655,0.24646983311938386,0.246684350132626
1517,2018-11-30,ERIE,qMO,Financial Services,Insurance Brokers,5 - Large,0.973753280839895,0.07782101167315175,0.304,0.8534031413612565,0.45057766367137353,0.8249336870026526
1518,2018-11-30,AES,qMO,Utilities,Utilities - Diversified,5 - Large,0.9724409448818898,0.767833981841764,0.5813333333333334,0.4424083769633508,0.9614890885750963,0.054376657824933686
1519,2018-11-30,AES,qSentiment,Utilities,Utilities - Diversified,5 - Large,0.9724409448818898,0.767833981841764,0.5813333333333334,0.4424083769633508,0.9614890885750963,0.054376657824933686
1520,2018-11-30,DELL,qMO,Technology,Computer Hardware,5 - Large,0.9711286089238845,0.4876783398184176,0.20533333333333334,0.49607329842931935,0.30423620025673936,0.9389920424403183
1521,2018-11-30,DELL,qGrowth,Technology,Computer Hardware,5 - Large,0.9711286089238845,0.4876783398184176,0.20533333333333334,0.49607329842931935,0.30423620025673936,0.9389920424403183
1522,2018-11-30,RSG,qMO,Industrials,Waste Management,5 - Large,0.9698162729658792,0.7457846952010376,0.5186666666666667,0.9842931937172775,0.5006418485237484,0.6604774535809018
1523,2018-11-30,RSG,qLV,Industrials,Waste Management,5 - Large,0.9698162729658792,0.7457846952010376,0.5186666666666667,0.9842931937172775,0.5006418485237484,0.6604774535809018
1524,2018-11-30,BAH,qMO,Industrials,Consulting Services,5 - Large,0.968503937007874,0.7042801556420234,0.7146666666666667,0.6570680628272252,0.6302952503209243,0.7042440318302388
1525,2018-11-30,UI,qMO,Technology,Communication Equipment,5 - Large,0.9671916010498688,0.11413748378728923,0.972,0.2905759162303665,0.06803594351732989,0.8594164456233422
1526,2018-11-30,UI,qQuality,Technology,Communication Equipment,5 - Large,0.9671916010498688,0.11413748378728923,0.972,0.2905759162303665,0.06803594351732989,0.8594164456233422
1527,2018-11-30,AAP,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9658792650918635,0.6381322957198443,0.7013333333333334,0.09293193717277487,0.1258023106546855,0.6883289124668435
1528,2018-11-30,MKC,qMO,Consumer Defensive,Packaged Foods,5 - Large,0.9645669291338582,0.3761348897535668,0.504,0.8965968586387435,0.7021822849807445,0.9018567639257294
1529,2018-11-30,ES,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.963254593175853,0.6666666666666666,0.33066666666666666,0.8926701570680629,0.5121951219512195,0.28116710875331563
1530,2018-11-30,CMG,qMO,Consumer Cyclical,Restaurants,5 - Large,0.9619422572178478,0.29961089494163423,0.8746666666666667,0.056282722513089,0.06675224646983313,0.713527851458886
1531,2018-11-30,MOS,qMO,Basic Materials,Agricultural Inputs,5 - Large,0.9606299212598425,0.7924773022049286,0.4026666666666667,0.3193717277486911,0.5969191270860077,0.6551724137931034
1532,2018-11-30,AZO,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9593175853018373,0.6121919584954605,0.6893333333333334,0.2107329842931937,0.00898587933247752,0.5676392572944297
1533,2018-11-30,RUN,qMO,Technology,Solar,5 - Large,0.958005249343832,0.14915693904020752,0.11333333333333333,0.17015706806282724,0.8138639281129654,0.8885941644562334
1534,2018-11-30,ORLY,qMO,Consumer Cyclical,Specialty Retail,5 - Large,0.9566929133858267,0.5408560311284046,0.8906666666666667,0.506544502617801,0.028241335044929428,0.7811671087533156
1535,2018-11-30,WRB,qMO,Financial Services,Insurance - Property & Casualty,5 - Large,0.9553805774278216,0.2788586251621271,0.06733333333333333,0.9986910994764397,0.8703465982028241,0.1206896551724138
1536,2018-11-30,WRB,qLV,Financial Services,Insurance - Property & Casualty,5 - Large,0.9553805774278216,0.2788586251621271,0.06733333333333333,0.9986910994764397,0.8703465982028241,0.1206896551724138
1537,2018-11-30,WLTW,qMO,Financial Services,Insurance Brokers,5 - Large,0.9540682414698163,0.16861219195849547,0.20933333333333334,0.9685863874345549,0.2066752246469833,0.4973474801061008
1538,2018-11-30,WLTW,qLV,Financial Services,Insurance Brokers,5 - Large,0.9540682414698163,0.16861219195849547,0.20933333333333334,0.9685863874345549,0.2066752246469833,0.4973474801061008
1539,2018-11-30,DRI,qMO,Consumer Cyclical,Restaurants,5 - Large,0.952755905511811,0.7159533073929961,0.724,0.32591623036649214,0.37869062901155326,0.6525198938992043
1540,2018-11-30,UDR,qMO,Real Estate,REIT - Residential,5 - Large,0.9514435695538058,0.30609597924773024,0.192,0.9869109947643979,0.7894736842105263,0.11538461538461539
1541,2018-11-30,UDR,qLV,Real Estate,REIT - Residential,5 - Large,0.9514435695538058,0.30609597924773024,0.192,0.9869109947643979,0.7894736842105263,0.11538461538461539
1542,2018-11-30,WELL,qMO,Real Estate,REIT - Healthcare Facilities,5 - Large,0.9501312335958005,0.46433203631647213,0.116,0.8952879581151832,0.6148908857509627,0.11671087533156499
1543,2018-11-30,AMT,qMO,Real Estate,REIT - Specialty,5 - Large,0.9488188976377953,0.18417639429312582,0.32,0.6243455497382199,0.24005134788189986,0.3395225464190981
1544,2018-11-30,LLY,qMO,Healthcare,Drug Manufacturers - General,5 - Large,0.94750656167979,0.2204928664072633,0.9266666666666666,0.8403141361256544,0.2772785622593068,0.1843501326259947
1545,2018-11-30,EXPD,qMO,Industrials,Integrated Freight & Logistics,5 - Large,0.9461942257217848,0.5512321660181583,0.8626666666666667,0.5026178010471204,0.41078305519897307,0.9124668435013262
1546,2018-11-30,CUBE,qMO,Real Estate,REIT - Industrial,4 - Mid,0.9455095862764884,0.46875,0.33975659229208927,0.9691542288557214,0.6150190114068441,0.48586387434554973
1547,2018-11-30,CUBE,qLV,Real Estate,REIT - Industrial,4 - Mid,0.9455095862764884,0.46875,0.33975659229208927,0.9691542288557214,0.6150190114068441,0.48586387434554973
1548,2018-11-30,VZ,qMO,Communication Services,Telecom Services,6 - Mega,0.9448818897637795,0.8962386511024644,0.664,0.9620418848167539,0.6495507060333761,0.7586206896551724
1549,2018-11-30,VZ,qLV,Communication Services,Telecom Services,6 - Mega,0.9448818897637795,0.8962386511024644,0.664,0.9620418848167539,0.6495507060333761,0.7586206896551724
1550,2018-11-30,PNW,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9435695538057742,0.880674448767834,0.452,0.9712041884816754,0.39537869062901154,0.39389920424403185
1551,2018-11-30,PNW,qLV,Utilities,Utilities - Regulated Electric,5 - Large,0.9435695538057742,0.880674448767834,0.452,0.9712041884816754,0.39537869062901154,0.39389920424403185
1552,2018-11-30,EXR,qMO,Real Estate,REIT - Industrial,5 - Large,0.9422572178477691,0.5525291828793775,0.18933333333333333,0.8337696335078534,0.37997432605905,0.5716180371352785
1553,2018-11-30,NEE,qMO,Utilities,Utilities - Regulated Electric,5 - Large,0.9409448818897638,0.7094682230869002,0.45866666666666667,0.9541884816753927,0.7779204107830552,0.4124668435013263
1554,2018-11-30,NEE,qLV,Utilities,Utilities - Regulated Electric,5 - Large,0.9409448818897638,0.7094682230869002,0.45866666666666667,0.9541884816753927,0.7779204107830552,0.4124668435013263
1555,2018-11-30,EQR,qMO,Real Estate,REIT - Residential,5 - Large,0.9396325459317585,0.490272373540856,0.12,0.8468586387434555,0.5044929396662388,0.21087533156498675
1556,2018-11-30,ENPH,qMO,Technology,Solar,5 - Large,0.9383202099737533,0.13618677042801555,0.09466666666666666,0.02225130890052356,0.9768934531450577,0.009283819628647215
1557,2018-11-30,ENPH,qSentiment,Technology,Solar,5 - Large,0.9383202099737533,0.13618677042801555,0.09466666666666666,0.02225130890052356,0.9768934531450577,0.009283819628647215
